import_stage,make,series,sku_code,description,uom,list_price,currency,notes
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E40B01,Contactor | FRAME-1 | Poles=3P | AC1=50 A | AC3=40 A | HP=29 | kW=22 | Aux(NO/NC)=-/1,EA,7680,INR,LC1E40B01*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E40B10,Contactor | FRAME-1 | Poles=3P | AC1=50 A | AC3=40 A | HP=29 | kW=22 | Aux(NO/NC)=1/-,EA,7680,INR,LC1E40B10*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E160,Contactor | FRAME-5 | Poles=3P | AC1=200 A | AC3=160 A | HP=120 | kW=90 | Aux(NO/NC)=1/1,EA,38540,INR,LC1E160*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E250,Contactor | FRAME-6 | Poles=3P | AC1=300 A | AC3=250 A | HP=175 | kW=132 | Aux(NO/NC)=-/-,EA,82625,INR,LC1E250*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E300,Contactor | FRAME-7 | Poles=3P | AC1=320 A | AC3=300 A | HP=215 | kW=160 | Aux(NO/NC)=-/-,EA,86065,INR,LC1E300*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E400,Contactor | FRAME-7 | Poles=3P | AC1=500 A | AC3=400 A | HP=295 | kW=220 | Aux(NO/NC)=-/-,EA,107405,INR,LC1E400*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E500,Contactor | FRAME-8 | Poles=3P | AC1=700 A | AC3=500 A | HP=375 | kW=280 | Aux(NO/NC)=-/-,EA,151285,INR,LC1E500*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E630,Contactor | FRAME-9 | Poles=3P | AC1=1000 A | AC3=630 A | HP=500 | kW=375 | Aux(NO/NC)=-/-,EA,212810,INR,LC1E630*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E0601,Contactor | FRAME-9 | Poles=3P | AC1=20 A | AC3=6 A | HP=3 | kW=2.2 | Aux(NO/NC)=-/1,EA,2875,INR,LC1E0601* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E0610,Contactor | FRAME-9 | Poles=3P | AC1=20 A | AC3=6 A | HP=3 | kW=2.2 | Aux(NO/NC)=1/-,EA,2875,INR,LC1E0610* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E0901,Contactor | FRAME-9 | Poles=3P | AC1=25 A | AC3=9 A | HP=5.5 | kW=4 | Aux(NO/NC)=-/1,EA,2875,INR,LC1E0901* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E0910,Contactor | FRAME-9 | Poles=3P | AC1=25 A | AC3=9 A | HP=5.5 | kW=4 | Aux(NO/NC)=1/-,EA,2875,INR,LC1E0910* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E1201,Contactor | FRAME-9 | Poles=3P | AC1=25 A | AC3=12 A | HP=7.5 | kW=5.5 | Aux(NO/NC)=-/1,EA,2975,INR,LC1E1201* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E1210,Contactor | FRAME-9 | Poles=3P | AC1=25 A | AC3=12 A | HP=7.5 | kW=5.5 | Aux(NO/NC)=1/-,EA,2975,INR,LC1E1210* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E1801,Contactor | FRAME-9 | Poles=3P | AC1=32 A | AC3=18 A | HP=12 | kW=9 | Aux(NO/NC)=-/1,EA,3470,INR,LC1E1801* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E1810,Contactor | FRAME-9 | Poles=3P | AC1=32 A | AC3=18 A | HP=12 | kW=9 | Aux(NO/NC)=1/-,EA,3470,INR,LC1E1810* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E2501,Contactor | FRAME-9 | Poles=3P | AC1=36 A | AC3=25 A | HP=15 | kW=11 | Aux(NO/NC)=-/1,EA,4760,INR,LC1E2501* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E2510,Contactor | FRAME-9 | Poles=3P | AC1=36 A | AC3=25 A | HP=15 | kW=11 | Aux(NO/NC)=1/-,EA,4760,INR,LC1E2510* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E3201,Contactor | FRAME-9 | Poles=3P | AC1=50 A | AC3=32 A | HP=20 | kW=15 | Aux(NO/NC)=-/1,EA,10415,INR,LC1E3201* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E3210,Contactor | FRAME-9 | Poles=3P | AC1=50 A | AC3=32 A | HP=20 | kW=15 | Aux(NO/NC)=1/-,EA,10415,INR,LC1E3210* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E3801,Contactor | FRAME-9 | Poles=3P | AC1=50 A | AC3=38 A | HP=25 | kW=18.5 | Aux(NO/NC)=-/1,EA,11905,INR,LC1E3801* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E3810,Contactor | FRAME-9 | Poles=3P | AC1=50 A | AC3=38 A | HP=25 | kW=18.5 | Aux(NO/NC)=1/-,EA,11905,INR,LC1E3810* 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E50,Contactor | FRAME-3 | Poles=3P | AC1=70 A | AC3=50 A | HP=34 | kW=25/30 | Aux(NO/NC)=1/1,EA,19485,INR,LC1E50**
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E65,Contactor | FRAME-3 | Poles=3P | AC1=80 A | AC3=65 A | HP=50 | kW=37 | Aux(NO/NC)=1/1,EA,20385,INR,LC1E65** 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E95,Contactor | FRAME-3 | Poles=3P | AC1=120 A | AC3=95 A | HP=60 | kW=45 | Aux(NO/NC)=1/1,EA,28720,INR,LC1E95** 0
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E09004*,Contactor | FRAME-4 | Poles=4P | AC1=25 | AC3=4NO | HP=LC1E09004*IN | kW=2030 | Aux(NO/NC)=2410/2030,EA,2030,INR,LC1E09004*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E18004*,Contactor | FRAME-4 | Poles=4P | AC1=40 | AC3=4NO | HP=LC1E18004*IN | kW=2640 | Aux(NO/NC)=2640/2640,EA,2640,INR,LC1E18004*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E32004*,Contactor | FRAME-2 FRAME-3 FRAME-4 | Poles=4P | AC1=55 | AC3=4NO | HP=LC1E32004*IN | kW=- | Aux(NO/NC)=5640/5640,EA,5640,INR,LC1E32004*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E40004*,Contactor | FRAME-2 FRAME-3 FRAME-4 | Poles=4P | AC1=75 | AC3=4NO | HP=LC1E40004*IN | kW=12440 | Aux(NO/NC)=12440/10280,EA,12440,INR,LC1E40004*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E80004*,Contactor | FRAME-2 FRAME-3 FRAME-4 | Poles=4P | AC1=110 | AC3=4NO | HP=LC1E80004*IN | kW=21310 | Aux(NO/NC)=21310/17620,EA,21310,INR,LC1E80004*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E09008*,Contactor | FRAME-1 | Poles=3P | AC1=25 | AC3=2NO + 2NC | HP=LC1E09008*IN | kW=2465 | Aux(NO/NC)=2465/2465,EA,2465,INR,LC1E09008*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E18008*,Contactor | FRAME-1 | Poles=3P | AC1=40 | AC3=2NO + 2NC | HP=LC1E18008*IN | kW=2655 | Aux(NO/NC)=2655/2655,EA,2655,INR,LC1E18008*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E32008*,Contactor | FRAME-2 FRAME-3 | Poles=3P | AC1=55 | AC3=2NO + 2NC | HP=LC1E32008*IN | kW=8945 | Aux(NO/NC)=-/-,EA,8945,INR,LC1E32008*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E40008*,Contactor | FRAME-2 FRAME-3 | Poles=3P | AC1=75 | AC3=2NO + 2NC | HP=LC1E40008*IN | kW=13820 | Aux(NO/NC)=-/13820,EA,13820,INR,LC1E40008*IN
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E0600,Contactor | FRAME-4 | Poles=3P | AC1=4 | AC3=0 | HP=CAE40* | kW=1845 | Aux(NO/NC)=1545/1545,EA,1,INR,LC1E0600*…. LC1E1800*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E2500,Contactor | FRAME-4 | Poles=3P | AC1=3 | AC3=1 | HP=CAE31* | kW=1845 | Aux(NO/NC)=1845/1545,EA,2,INR,LC1E2500*…. LC1E3800*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E4000,Contactor | FRAME-4 | Poles=3P | AC1=2 | AC3=2 | HP=CAE22* | kW=1845 | Aux(NO/NC)=1545/1545,EA,4,INR,LC1E4000*…..LC1E9500*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E80,Contactor | FRAME-4 | Poles=3P | AC1=LC1E80/E95 & LC1E4000*…LC1E9500* | AC3=LAEM4 | HP=3215,EA,4,INR,LC1E80/E95 & LC1E4000*…LC1E9500*
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E120,Contactor | FRAME-4 | Poles=3P | AC1=LC1E120..E160 | AC3=LAEM5 | HP=5995,EA,5,INR,LC1E120..E160
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E25,Contactor | FRAME-4 | Poles=3P | AC1=LC1E25 | AC3=1,EA,1,INR,LC1E25
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E40,Contactor | FRAME-4 | Poles=3P | AC1=LC1E40 | AC3=1NO + 1NC,EA,11,INR,LC1E40
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E200,Contactor | FRAME-4 | Poles=3P | AC1=LC1E200 | AC3=- | HP=2,EA,2,INR,LC1E200
FINAL,Schneider,Easy TeSys Power Contactors (LC1E),LC1E06,Contactor | FRAME-4 | Poles=3P | AC1=LC1E06 | AC3=1 | HP=1 | kW=1,EA,1,INR,LC1E06
